"Player","Source","Target","Weight"
"Corentin Tolisso","Olympique Lyon","Bayern Munich","41500000"
"Kingsley Coman","Juventus FC","Bayern Munich","21000000"
"Niklas Süle","TSG 1899 Hoffenheim","Bayern Munich","20000000"
"Sandro Wagner","TSG 1899 Hoffenheim","Bayern Munich","13000000"
"Serge Gnabry","SV Werder Bremen","Bayern Munich","8000000"
"Medhi Benatia","Bayern Munich","Juventus FC","17000000"
"Gianluca Gaudino","Bayern Munich","Chievo Verona","50000"
"Kevin Kampl","Bayer 04 Leverkusen","RB Leipzig","20000000"
"Jean-Kévin Augustin","Paris Saint-Germain","RB Leipzig","16000000"
"Bruma","Galatasaray SK","RB Leipzig","13000000"
"Konrad Laimer","Red Bull Salzburg","RB Leipzig","7000000"
"Yvon Mvogo","BSC Young Boys","RB Leipzig","5000000"
"Oliver Burke","RB Leipzig","West Bromwich Albion","15200000"
"Davie Selke","RB Leipzig","Hertha BSC","8000000"
"Marvin Compper","RB Leipzig","Celtic FC","1140000"
"Andriy Yarmolenko","Dynamo Kyiv","Borussia Dortmund","25000000"
"Manuel Akanji","FC Basel 1893","Borussia Dortmund","21500000"
"Maximilian Philipp","SC Freiburg","Borussia Dortmund","20000000"
"Ömer Toprak","Bayer 04 Leverkusen","Borussia Dortmund","12000000"
"Mahmoud Dahoud","Borussia Mönchengladbach","Borussia Dortmund","12000000"
"Jeremy Toljan","TSG 1899 Hoffenheim","Borussia Dortmund","7000000"
"Ousmane Dembélé","Borussia Dortmund","FC Barcelona","115000000"
"Pierre-Emerick Aubameyang","Borussia Dortmund","Arsenal FC","63750000"
"Matthias Ginter","Borussia Dortmund","Borussia Mönchengladbach","17000000"
"Emre Mor","Borussia Dortmund","Celta de Vigo","13000000"
"Sven Bender","Borussia Dortmund","Bayer 04 Leverkusen","12500000"
"Adrián Ramos","Borussia Dortmund","Chongqing Dangdai Lifan","12000000"
"Marc Bartra","Borussia Dortmund","Real Betis Balompié","10500000"
"Pascal Stenzel","Borussia Dortmund","SC Freiburg","4000000"
"Havard Nordtveit","West Ham United","TSG 1899 Hoffenheim","8000000"
"Nico Schulz","Borussia Mönchengladbach","TSG 1899 Hoffenheim","3000000"
"Justin Hoogma","Heracles Almelo","TSG 1899 Hoffenheim","2700000"
"Fabian Schär","TSG 1899 Hoffenheim","Deportivo de La Coruña","3000000"
"Marco Terrazzino","TSG 1899 Hoffenheim","SC Freiburg","2500000"
"Nicolai Rapp","TSG 1899 Hoffenheim","FC Erzgebirge Aue","50000"
"Jhon Córdoba","1.FSV Mainz 05","1. FC Köln","17000000"
"Jannes Horn","VfL Wolfsburg","1. FC Köln","7000000"
"Jorge Meré","Sporting Gijón","1. FC Köln","7000000"
"Simon Terodde","VfB Stuttgart","1. FC Köln","3000000"
"Vincent Koziello","OGC Nice","1. FC Köln","3000000"
"Konstantin Rausch","1. FC Köln","Dinamo Moscow","1500000"
"Marcel Hartel","1. FC Köln","1.FC Union Berlin","250000"
"Mathew Leckie","FC Ingolstadt 04","Hertha BSC","3000000"
"Karim Rekik","Olympique Marseille","Hertha BSC","2500000"
"John Anthony Brooks","Hertha BSC","VfL Wolfsburg","17000000"
"Sebastian Langkamp","Hertha BSC","SV Werder Bremen","1000000"
"Yoric Ravet","BSC Young Boys","SC Freiburg","4500000"
"Robin Koch","1.FC Kaiserslautern","SC Freiburg","4000000"
"Florian Niederlechner","1.FSV Mainz 05","SC Freiburg","2300000"
"Lucas Höler","SV Sandhausen","SC Freiburg","1100000"
"Patrick Kammerbauer","1.FC Nuremberg","SC Freiburg","350000"
"Vincenzo Grifo","SC Freiburg","Borussia Mönchengladbach","6000000"
"Onur Bulut","SC Freiburg","Eintracht Braunschweig","900000"
"Sebastian Kerk","SC Freiburg","1.FC Nuremberg","500000"
"Havard Nielsen","SC Freiburg","Fortuna Düsseldorf","400000"
"Milot Rashica","Vitesse Arnhem","SV Werder Bremen","7000000"
"Ludwig Augustinsson","FC Copenhagen","SV Werder Bremen","4500000"
"Jiri Pavlenka","SK Slavia Prag","SV Werder Bremen","3000000"
"Jérôme Gondorf","SV Darmstadt 98","SV Werder Bremen","1200000"
"Felix Wiedwald","SV Werder Bremen","Leeds United","500000"
"Levent Aycicek","SV Werder Bremen","SpVgg Greuther Fürth","200000"
"Marnon Busch","SV Werder Bremen","1.FC Heidenheim 1846","100000"
"Denis Zakaria","BSC Young Boys","Borussia Mönchengladbach","12000000"
"Raúl Bobadilla","FC Augsburg","Borussia Mönchengladbach","2000000"
"André Hahn","Borussia Mönchengladbach","Hamburger SV","6000000"
"Timothée Kolodziejczak","Borussia Mönchengladbach","Tigres UANL","5000000"
"Julian Korb","Borussia Mönchengladbach","Hannover 96","3000000"
"Djibril Sow","Borussia Mönchengladbach","BSC Young Boys","2000000"
"Nabil Bentaleb","Tottenham Hotspur","FC Schalke 04","19000000"
"Yevhen Konoplyanka","Sevilla FC","FC Schalke 04","12500000"
"Amine Harit","FC Nantes","FC Schalke 04","8000000"
"Bastian Oczipka","Eintracht Frankfurt","FC Schalke 04","4500000"
"Pablo Insua","Deportivo de La Coruña","FC Schalke 04","3500000"
"Cedric Teuchert","1.FC Nuremberg","FC Schalke 04","1000000"
"Felix Platte","FC Schalke 04","SV Darmstadt 98","800000"
"Fabian Giefer","FC Schalke 04","FC Augsburg","750000"
"Sébastien Haller","FC Utrecht","Eintracht Frankfurt","7000000"
"Jetro Willems","PSV Eindhoven","Eintracht Frankfurt","5000000"
"Simon Falette","FC Metz","Eintracht Frankfurt","2700000"
"Daichi Kamada","Sagan Tosu","Eintracht Frankfurt","1600000"
"Danny da Costa","Bayer 04 Leverkusen","Eintracht Frankfurt","1000000"
"Marijan Cavar","HSK Zrinjski Mostar","Eintracht Frankfurt","400000"
"Gelson Fernandes","Stade Rennais FC","Eintracht Frankfurt","350000"
"Lucas Alario","Club Atlético River Plate","Bayer 04 Leverkusen","24000000"
"Panagiotis Retsos","Olympiacos Piraeus","Bayer 04 Leverkusen","17500000"
"Dominik Kohr","FC Augsburg","Bayer 04 Leverkusen","2000000"
"Hakan Calhanoglu","Bayer 04 Leverkusen","AC Milan","22000000"
"Chicharito","Bayer 04 Leverkusen","West Ham United","17800000"
"Admir Mehmedi","Bayer 04 Leverkusen","VfL Wolfsburg","8000000"
"Kyriakos Papadopoulos","Bayer 04 Leverkusen","Hamburger SV","6500000"
"André Ramalho","Bayer 04 Leverkusen","Red Bull Salzburg","800000"
"Michael Gregoritsch","Hamburger SV","FC Augsburg","5500000"
"Sergio Córdova","Caracas FC","FC Augsburg","1000000"
"Kilian Jakob","TSV 1860 Munich","FC Augsburg","300000"
"Paul Verhaegh","FC Augsburg","VfL Wolfsburg","1500000"
"Albian Ajeti","FC Augsburg","FC St. Gallen 1879","1000000"
"Erik Thommy","FC Augsburg","VfB Stuttgart","500000"
"Julian Pollersbeck","1.FC Kaiserslautern","Hamburger SV","3500000"
"Rick van Drongelen","Sparta Rotterdam","Hamburger SV","3000000"
"Abdou Diallo","AS Monaco","1.FSV Mainz 05","5000000"
"Anthony Ujah","Liaoning FC","1.FSV Mainz 05","3800000"
"Viktor Fischer","Middlesbrough FC","1.FSV Mainz 05","3000000"
"Alexandru Maxim","VfB Stuttgart","1.FSV Mainz 05","3000000"
"Kenan Kodro","CA Osasuna","1.FSV Mainz 05","1750000"
"Viktor Fischer","1.FSV Mainz 05","FC Copenhagen","2700000"
"Fabian Frei","1.FSV Mainz 05","FC Basel 1893","1500000"
"Pierre Bengtsson","1.FSV Mainz 05","FC Copenhagen","1000000"
"Jairo Samperio","1.FSV Mainz 05","UD Las Palmas","350000"
"Ignacio Camacho","Málaga CF","VfL Wolfsburg","15000000"
"Landry Dimata","KV Oostende","VfL Wolfsburg","10000000"
"William","Sport Club Internacional","VfL Wolfsburg","5000000"
"Marvin Stefaniak","SG Dynamo Dresden","VfL Wolfsburg","2000000"
"Renato Steffen","FC Basel 1893","VfL Wolfsburg","1750000"
"Felix Uduokhai","TSV 1860 Munich","VfL Wolfsburg","1000000"
"Ricardo Rodríguez","VfL Wolfsburg","AC Milan","15000000"
"Luiz Gustavo","VfL Wolfsburg","Olympique Marseille","10000000"
"Mario Gómez","VfL Wolfsburg","VfB Stuttgart","3000000"
"Vieirinha","VfL Wolfsburg","PAOK Thessaloniki","1000000"
"Chadrac Akolo","FC Sion","VfB Stuttgart","6000000"
"Santiago Ascacíbar","Club Estudiantes de La Plata","VfB Stuttgart","6000000"
