"Player","Source","Target","Value"
"Corentin Tolisso","Olympique Lyon","Bayern Munich","41500000"
"Kingsley Coman","Juventus FC","Bayern Munich","21000000"
"Niklas Süle","TSG 1899 Hoffenheim","Bayern Munich","20000000"
"Sandro Wagner","TSG 1899 Hoffenheim","Bayern Munich","13000000"
"James Rodríguez","Real Madrid","Bayern Munich","Loan fee:13000000"
"Serge Gnabry","SV Werder Bremen","Bayern Munich","8000000"
"Sebastian Rudy","TSG 1899 Hoffenheim","Bayern Munich","0"
"Tom Starke","Career break","Bayern Munich","0"
"Gianluca Gaudino","FC St. Gallen 1879","Bayern Munich","Loan End"
"Holger Badstuber","FC Schalke 04","Bayern Munich","Loan End"
"Medhi Benatia","Juventus FC","Bayern Munich","Loan End"
"Medhi Benatia","Bayern Munich","Juventus FC","17000000"
"Renato Sanches","Bayern Munich","Swansea City","Loan fee:8500000"
"Douglas Costa","Bayern Munich","Juventus FC","Loan fee:6000000"
"Holger Badstuber","Bayern Munich","VfB Stuttgart","1000000"
"Serge Gnabry","Bayern Munich","TSG 1899 Hoffenheim","Loan fee:1000000"
"Gianluca Gaudino","Bayern Munich","Chievo Verona","50000"
"Marco Friedl","Bayern Munich","SV Werder Bremen","Loan fee:0"
"Xabi Alonso","Bayern Munich","Retired","0"
"Philipp Lahm","Bayern Munich","Retired","0"
"Tom Starke","Bayern Munich","Career break","0"
"Kingsley Coman","Bayern Munich","Juventus FC","Loan End"
"Kevin Kampl","Bayer 04 Leverkusen","RB Leipzig","20000000"
"Jean-Kévin Augustin","Paris Saint-Germain","RB Leipzig","16000000"
"Bruma","Galatasaray SK","RB Leipzig","12750000"
"Konrad Laimer","Red Bull Salzburg","RB Leipzig","7000000"
"Yvon Mvogo","BSC Young Boys","RB Leipzig","5000000"
"Ibrahima Konaté","FC Sochaux-Montbéliard","RB Leipzig","0"
"Ademola Lookman","Everton FC","RB Leipzig","Loan fee:0"
"Felix Beiersdorf","SC Wiener Neustadt","RB Leipzig","Loan End"
"Zsolt Kalmár","Bröndby IF","RB Leipzig","Loan End"
"Nils Quaschner","VfL Bochum","RB Leipzig","Loan End"
"Atinc Nukan","Besiktas JK","RB Leipzig","Loan End"
"Anthony Jung","FC Ingolstadt 04","RB Leipzig","Loan End"
"Oliver Burke","RB Leipzig","West Bromwich Albion","15200000"
"Davie Selke","RB Leipzig","Hertha BSC","8000000"
"Marvin Compper","RB Leipzig","Celtic FC","1140000"
"Atinc Nukan","RB Leipzig","Besiktas JK","Loan fee:200000"
"Felix Beiersdorf","RB Leipzig","BSG Chemie Leipzig","Loan fee:0"
"Zsolt Kalmár","RB Leipzig","DAC Dunajska Streda","Loan fee:0"
"Rani Khedira","RB Leipzig","FC Augsburg","0"
"Agyemang Diawusie","RB Leipzig","SV Wehen Wiesbaden","Loan fee:0"
"Marius Müller","RB Leipzig","1.FC Kaiserslautern","Loan fee:0"
"Federico Palacios Martínez","RB Leipzig","1.FC Nuremberg","?"
"Nils Quaschner","RB Leipzig","Arminia Bielefeld","?"
"Anthony Jung","RB Leipzig","Bröndby IF","Loan fee:0"
"Andriy Yarmolenko","Dynamo Kyiv","Borussia Dortmund","25000000"
"Manuel Akanji","FC Basel 1893","Borussia Dortmund","21500000"
"Maximilian Philipp","SC Freiburg","Borussia Dortmund","20000000"
"Ömer Toprak","Bayer 04 Leverkusen","Borussia Dortmund","12000000"
"Mahmoud Dahoud","Borussia Mönchengladbach","Borussia Dortmund","12000000"
"Jeremy Toljan","TSG 1899 Hoffenheim","Borussia Dortmund","7000000"
"Michy Batshuayi","Chelsea FC","Borussia Dortmund","Loan fee:1500000"
"Neven Subotic","1. FC Köln","Borussia Dortmund","Loan End"
"Adrián Ramos","Granada CF","Borussia Dortmund","Loan End"
"Pascal Stenzel","SC Freiburg","Borussia Dortmund","Loan End"
"Ousmane Dembélé","Borussia Dortmund","FC Barcelona","105000000"
"Pierre-Emerick Aubameyang","Borussia Dortmund","Arsenal FC","63750000"
"Matthias Ginter","Borussia Dortmund","Borussia Mönchengladbach","17000000"
"Emre Mor","Borussia Dortmund","Celta de Vigo","13000000"
"Sven Bender","Borussia Dortmund","Bayer 04 Leverkusen","12500000"
"Adrián Ramos","Borussia Dortmund","Chongqing Dangdai Lifan","12000000"
"Marc Bartra","Borussia Dortmund","Real Betis Balompié","10500000"
"Pascal Stenzel","Borussia Dortmund","SC Freiburg","4000000"
"Mikel Merino","Borussia Dortmund","Newcastle United","Loan fee:3000000"
"Jacob Bruun Larsen","Borussia Dortmund","VfB Stuttgart","Loan fee:200000"
"Hendrik Bonmann","Borussia Dortmund","TSV 1860 Munich","0"
"Neven Subotic","Borussia Dortmund","AS Saint-Étienne","0"
"Dzenis Burnic","Borussia Dortmund","VfB Stuttgart","Loan fee:0"
"Felix Passlack","Borussia Dortmund","TSG 1899 Hoffenheim","Loan fee:0"
"Havard Nordtveit","West Ham United","TSG 1899 Hoffenheim","8000000"
"Nico Schulz","Borussia Mönchengladbach","TSG 1899 Hoffenheim","3000000"
"Justin Hoogma","Heracles Almelo","TSG 1899 Hoffenheim","2700000"
"Florian Grillitsch","SV Werder Bremen","TSG 1899 Hoffenheim","0"
"Robert Zulj","SpVgg Greuther Fürth","TSG 1899 Hoffenheim","0"
"Russell Canouse","VfL Bochum","TSG 1899 Hoffenheim","Loan End"
"Antonio Colak","FC Ingolstadt 04","TSG 1899 Hoffenheim","Loan End"
"Baris Atik","1.FC Kaiserslautern","TSG 1899 Hoffenheim","Loan End"
"Kevin Akpoguma","Fortuna Düsseldorf","TSG 1899 Hoffenheim","Loan End"
"In-hyeok Park","FC Koper","TSG 1899 Hoffenheim","Loan End"
"Antonio Colak","SV Darmstadt 98","TSG 1899 Hoffenheim","Loan End"
"Benedikt Gimber","Karlsruher SC","TSG 1899 Hoffenheim","Loan End"
"Nicolai Rapp","SpVgg Greuther Fürth","TSG 1899 Hoffenheim","Loan End"
"Baris Atik","SK Sturm Graz","TSG 1899 Hoffenheim","Loan End"
"Fabian Schär","TSG 1899 Hoffenheim","Deportivo de La Coruña","3000000"
"Marco Terrazzino","TSG 1899 Hoffenheim","SC Freiburg","2500000"
"Antonio Colak","TSG 1899 Hoffenheim","FC Ingolstadt 04","Loan fee:150000"
"Baris Atik","TSG 1899 Hoffenheim","1.FC Kaiserslautern","Loan fee:50000"
"Nicolai Rapp","TSG 1899 Hoffenheim","FC Erzgebirge Aue","50000"
"Pirmin Schwegler","TSG 1899 Hoffenheim","Hannover 96","0"
"Danilo Soares","TSG 1899 Hoffenheim","VfL Bochum","0"
"Russell Canouse","TSG 1899 Hoffenheim","D.C. United","?"
"Philipp Ochs","TSG 1899 Hoffenheim","VfL Bochum","Loan fee:0"
"In-hyeok Park","TSG 1899 Hoffenheim","FK Vojvodina Novi Sad","Loan fee:0"
"Benedikt Gimber","TSG 1899 Hoffenheim","SSV Jahn Regensburg","Loan fee:0"
"Jhon Córdoba","1.FSV Mainz 05","1. FC Köln","17000000"
"Jannes Horn","VfL Wolfsburg","1. FC Köln","7000000"
"Jorge Meré","Sporting Gijón","1. FC Köln","7000000"
"Vincent Koziello","OGC Nice","1. FC Köln","3000000"
"Simon Terodde","VfB Stuttgart","1. FC Köln","3000000"
"Claudio Pizarro","Free agent","1. FC Köln","0"
"Anthony Modeste","1. FC Köln","Tianjin Quanjian","Loan fee:5700000"
"Konstantin Rausch","1. FC Köln","Dinamo Moscow","1500000"
"Marcel Hartel","1. FC Köln","1.FC Union Berlin","250000"
"Artjoms Rudnevs","1. FC Köln","Retired","0"
"Mathew Leckie","FC Ingolstadt 04","Hertha BSC","3000000"
"Karim Rekik","Olympique Marseille","Hertha BSC","2500000"
"Valentino Lazaro","Red Bull Salzburg","Hertha BSC","Loan fee:500000"
"Jonathan Klinsmann","California Golden Bears (UC Berkeley)","Hertha BSC","0"
"John Anthony Brooks","Hertha BSC","VfL Wolfsburg","17000000"
"Sebastian Langkamp","Hertha BSC","SV Werder Bremen","2500000"
"Alexander Baumjohann","Hertha BSC","Coritiba Foot Ball Club","0"
"Valentin Stocker","Hertha BSC","FC Basel 1893","0"
"Sami Allagui","Hertha BSC","FC St. Pauli","0"
"Florian Kohls","Hertha BSC","Würzburger Kickers","0"
"Genki Haraguchi","Hertha BSC","Fortuna Düsseldorf","Loan fee:0"
"Nils Körber","Hertha BSC","Preußen Münster ","Loan fee:0"
"Yoric Ravet","BSC Young Boys","SC Freiburg","4500000"
